Month,Wood Energy Production,Biofuels Production,Total Biomass Energy Production,Total Renewable Energy Production,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Total Biomass Energy Consumption,Total Renewable Energy Consumption
2012 September,179.203,150,366.465,650.584,167.517,17.576,15.384,83.642,179.203,37.263,148.694,365.16,649.279
2012 October,180.24,152.466,373.472,682.912,157.02,18.027,14.153,120.241,180.24,40.766,157.631,378.637,688.077
2012 November,178.719,148.782,368.172,686.847,178.257,18.023,11.547,110.848,178.719,40.671,148.982,368.372,687.048
2012 December,186.371,153.866,382.521,769.199,218.713,18.608,11.142,138.215,186.371,42.283,151.417,380.071,766.749
2013 January,199.658,150.116,391.206,797.741,236.889,18.578,10.449,140.62,199.658,41.432,149.174,390.264,796.799
2013 February,179.53,137.251,353.773,711.752,194.813,16.666,12.205,134.295,179.53,36.992,139.285,355.807,713.786
2013 March,195.918,159.161,397.238,779.063,195.918,18.543,17.039,150.325,195.918,42.16,161.362,399.439,781.264
2013 April,185.361,159.769,385.899,828.095,239.451,17.376,18.627,166.741,185.361,40.77,161.997,388.128,830.323
2013 May,193.12,169.453,404.043,869.011,271.442,17.87,20.722,154.933,193.12,41.47,170.666,405.256,870.224
2013 June,192.995,167.146,400.577,832.404,261.271,17.415,21.97,131.171,192.995,40.437,172.624,406.055,837.883
2013 July,204.781,170.283,417.027,823.306,260.036,18.148,22.251,105.844,204.781,41.963,171.443,418.187,824.467
2013 August,202.372,166.758,411.328,750.86,206.403,18.011,23.202,91.917,202.372,42.198,172.073,416.642,756.174
2013 September,190.5,162.24,392.654,705.477,161.826,17.616,21.998,111.382,190.5,39.914,170.498,400.912,713.734
2013 October,195.16,177.495,414.632,748.438,164.092,18.402,21.221,130.092,195.16,41.976,183.08,420.217,754.023
2013 November,195.075,176.018,413.361,767.298,168.655,16.959,17.543,150.779,195.075,42.268,175.941,413.284,767.22
2013 December,203.786,185.25,433.893,804.457,201.585,18.423,17.297,133.26,203.786,44.857,185.514,434.157,804.721
2014 January,204.463,169.589,418.976,829.877,205.737,18.279,16.549,170.336,204.463,44.923,163.976,413.362,824.263
2014 February,185.762,153.382,379.971,712.919,165.437,16.342,17.946,133.222,185.762,40.827,151.699,378.288,711.236
2014 March,203.755,172.687,420.974,864.639,230.685,18.114,26.197,168.668,203.755,44.532,168.937,417.224,860.888
2014 April,192.91,169.65,406.459,872.368,241.934,17.711,29.04,177.224,192.91,43.899,168.006,404.815,870.724
2014 May,196.178,177.941,417.246,869.21,252.432,18.064,33.098,148.369,196.178,43.127,176.546,415.851,867.815
2014 June,200.325,177.292,420.03,867.499,244.824,17.519,34.879,150.247,200.325,42.412,175.57,418.307,865.776
2014 July,206.684,183.262,434.94,834.735,231.639,17.942,34.312,115.902,206.684,44.994,180.073,431.752,831.547
2014 August,207.939,179.302,430.195,768.361,188.367,18.034,35.043,96.722,207.939,42.954,181.597,432.49,770.656
2014 September,195.842,173.21,409.688,722.957,152.867,17.654,33.196,109.553,195.842,40.635,171.931,408.409,721.678
2014 October,200.486,179.049,422.001,772.211,163.184,18.185,30.871,137.97,200.486,42.467,180.124,423.076,773.287
2014 November,198.644,176.777,416.969,816.747,177.123,18.176,25.055,179.424,198.644,41.549,174.886,415.078,814.856
2014 December,208.088,191.27,442.916,834.995,212.347,18.469,21.358,139.904,208.088,43.558,183.923,435.569,827.648
2015 January,202.234,177.934,423.312,828.694,224.946,18.085,21.055,141.296,202.234,43.145,164.578,409.957,815.339
2015 February,182.561,161.849,382.846,771.267,207.684,16.614,25.069,139.054,182.561,38.436,158.442,379.439,767.86
2015 March,192.639,179.665,415.134,837.382,226.274,18.384,34.936,142.655,192.639,42.831,176.429,411.898,834.146
2015 April,187.51,172.115,401.278,833.853,209.407,17.077,39.587,166.504,187.51,41.652,171.352,400.515,833.09
2015 May,193.159,183.33,418.828,827.107,187.549,18.348,42.548,159.833,193.159,42.339,185.978,421.476,829.754
2015 June,190.357,184.164,416.506,792.408,190.239,17.349,43.242,125.073,190.357,41.985,187.294,419.636,795.538
2015 July,199.086,187.267,431.961,818.244,195.832,18.036,44.973,127.442,199.086,45.608,189.183,433.877,820.16
2015 August,199.922,184.812,428.805,792.096,178.199,17.919,45.28,121.893,199.922,44.071,189.815,433.808,797.099
2015 September,189.658,175.497,407.021,742.621,149.981,16.429,38.989,130.201,189.658,41.867,183.279,414.803,750.402
2015 October,187.832,183.159,415.534,775.185,154.979,17.722,34.304,152.646,187.832,44.543,184.095,416.47,776.121
2015 November,189.32,181.749,416.219,827.144,180.209,17.647,29.655,183.414,189.32,45.15,178.533,413.003,823.928
2015 December,197.492,189.898,434.134,882.764,215.88,18.225,27.228,187.297,197.492,46.745,184.268,428.505,877.134
2016 January,196.98,185.228,424.372,875.088,236.473,17.675,26.085,170.482,192.064,42.164,173.48,407.709,858.424
2016 February,187.36,176.031,403.858,864.281,222.851,16.51,35.145,185.916,180.737,40.467,173.162,394.367,854.79
2016 March,191.226,190.242,425.011,941.359,252.863,17.52,43.42,202.545,185.352,43.543,186.866,415.762,932.11
2016 April,178.487,174.648,395.813,891.19,238.906,16.366,48.086,192.019,173.579,42.678,174.878,391.135,886.512
2016 May,187.494,188.777,419.21,901.615,235.29,17.766,55.345,174.004,180.992,42.94,192.613,416.546,898.95
2016 June,190.652,189.35,420.069,858.269,214.523,16.758,56.406,150.513,182.443,40.067,192.11,414.62,852.82
2016 July,192.829,195.919,430.196,870.081,198.076,17.484,61.673,162.653,188.71,41.448,201.722,431.88,871.765
2016 August,196.474,198.477,436.909,821.794,180.666,17.604,61.158,125.457,190.437,41.958,205.414,437.809,822.693
2016 September,186.119,187.216,412.641,788.108,151.106,17.453,55.469,151.438,179.12,39.307,192.696,411.122,786.589
2016 October,185.797,193.852,420.363,835.099,160.072,17.871,49.057,187.736,179.692,40.714,195.694,416.1,830.836
2016 November,187.679,192.014,423.015,835.016,173.638,17.796,41.415,179.153,182.87,43.322,194.582,420.774,832.775
2016 December,215.601,203.194,463.404,940.971,207.976,18.801,37.11,213.679,208.124,44.61,203.973,456.707,934.273
2017 January,193.476,197.165,435.062,926.632,245.323,18.356,36.273,191.619,186.913,44.422,181.073,412.408,903.979
2017 February,175.205,177.107,391.897,873.587,220.023,16.285,41.857,203.525,169.776,39.585,167.651,377.011,858.701
2017 March,192.785,197.318,433.48,1026.651,272.826,18.173,65.115,237.056,185.831,43.377,191.262,420.471,1013.642
2017 April,179.761,183.259,403.555,997.275,270.949,17.576,71.388,233.807,173.92,40.534,185.005,399.46,993.181
2017 May,183.304,197.127,421.799,1034.318,300.409,17.387,82.201,212.522,177.926,41.368,201.569,420.863,1033.383
2017 June,187.704,191.659,419.407,989.713,281.69,17.046,86.003,185.566,181.026,40.044,199.185,420.255,990.561
2017 July,193.453,196.122,430.602,923.984,245.05,18.04,81.78,148.514,187.905,41.027,196.477,425.409,918.792
2017 August,196.272,203.402,440.802,868.653,202.998,17.95,79.037,127.866,189.766,41.128,205.256,436.15,864.002
2017 September,181.667,192.055,411.947,844.056,176.445,17.486,73.157,165.021,174.284,38.225,190.088,402.597,834.706
2017 October,187.009,200.758,428.203,898.917,163.053,16.579,66.573,224.509,180.731,40.436,196.438,417.605,888.319
2017 November,188.537,203.282,433.495,890.499,183.231,17.239,48.183,208.351,181.492,41.676,194.257,417.425,874.429
2017 December,200.018,205.044,448.499,921.636,204.969,18.115,45.518,204.535,190.992,43.437,195.258,429.687,902.825
2018 January,202.229,199.523,445.08,972.47,228.183,17.604,48.551,233.052,196.648,43.328,186.508,426.483,953.873
2018 February,184.106,183.606,407.868,917.637,226.71,16.471,55.472,211.117,176.28,40.156,165.761,382.197,891.967
2018 March,198.581,201.616,443.437,1011.223,235.435,17.836,73.59,240.926,192.76,43.24,192.011,428.011,995.797
2018 April,187.799,191.115,419.576,1018.357,255.96,16.034,86.16,240.627,180.506,40.661,181.294,402.462,1001.242
2018 May,196.992,201.876,439.621,1049.282,277.165,17.981,96.447,218.069,189.064,40.753,200.542,430.359,1040.02
2018 June,195.226,200.293,434.512,1029.846,251.248,17.053,102.139,224.895,186.429,38.993,193.785,419.206,1014.54
2018 July,202.798,209.602,451.901,945.119,228.506,17.862,97.121,149.73,196.063,39.5,199.489,435.051,928.27
2018 August,202.636,212.287,454.811,948.886,200.442,17.839,95.113,180.682,194.39,39.888,205.896,440.174,934.249
2018 September,190.166,193.836,420.524,865.466,174.484,17.308,84.547,168.603,181.638,36.521,182.001,400.16,845.102
2018 October,195.971,204.468,441.384,901.608,177.967,16.983,72.324,192.949,186.574,40.945,195.775,423.295,883.518
2018 November,193.32,198.235,432.494,905.4,199.493,17.335,55.646,200.431,184.591,40.939,188.869,414.399,887.305
2018 December,204.739,200.115,447.277,943.07,207.545,18.558,48.405,221.284,195.562,42.423,191.315,429.301,925.094
2019 January,201.721,195.433,436.639,943.541,220.8,17.769,52.426,215.907,195.678,39.485,177.479,412.643,919.546
2019 February,183.745,176.892,396.188,873.434,203.728,16.38,56.382,200.755,175.349,35.551,172.289,383.189,860.435
2019 March,195.748,191.081,425.258,990.413,234.478,18.059,83.986,228.632,188.634,38.429,185.973,413.036,978.191
2019 April,185.194,193.457,414.21,1030.384,247.711,16.385,95.164,256.914,177.073,35.559,184.627,397.259,1013.433
2019 May,192.588,202.177,430.776,1063.768,284.768,17.341,102.093,228.79,184.62,36.011,199.176,419.807,1052.799
2019 June,190.888,197.063,424.141,1000.405,250.004,17.046,109.897,199.316,181.546,36.19,193.872,411.608,987.871
2019 July,199.979,202.891,439.406,987.828,221.491,17.639,113.022,196.27,191.623,36.537,196.907,425.068,973.49
2019 August,203.027,199.004,439.032,944.649,201.04,17.798,109.135,177.644,192.576,37.001,193.783,423.36,928.977
2019 September,190.876,182.097,407.577,902.923,164.953,17.396,95.315,217.681,181.155,34.604,179.009,394.768,890.114
2019 October,192.803,191.976,422.058,930.498,162.995,15.553,84.845,245.046,184.061,37.279,190.897,412.237,920.677
2019 November,192.54,191.984,421.487,901.364,180.017,13.977,62.909,222.973,183.158,36.963,186.832,406.952,886.829
2019 December,201.169,203.464,443.469,939.392,191.242,15.926,52.838,235.917,191.162,38.836,193.89,423.889,919.811
2020 January,193.232,203.471,435.632,995.264,226.383,16.64,65.966,250.643,186.082,38.93,186.856,411.867,971.498
2020 February,183.887,187.1,406.933,995.532,235.003,16.376,78.189,259.031,175.754,35.946,173.842,385.542,974.141
2020 March,191.745,183.663,413.749,994.615,208.559,18.882,93.391,260.034,181.724,38.341,162.492,382.556,963.422
2020 April,183.023,112.893,331.662,918.395,195.508,18.112,111.907,261.206,174.64,35.746,112.394,322.78,909.513
2020 May,191.023,136.585,363.894,1036.515,272.098,18.279,131.479,250.766,182.988,36.286,145.906,365.18,1037.801
2020 June,180.782,164.111,377.859,1050.542,259.445,17.398,129.862,265.978,171.209,32.965,166.727,370.901,1043.584
2020 July,185.357,180.789,401.014,1006.388,247.114,18.12,139.094,201.045,178.21,34.868,179.397,392.475,997.849
2020 August,188.216,179.379,402.983,965.785,215.725,18.078,128.03,200.97,179.668,35.388,174.514,389.57,952.372
2020 September,182.834,175.381,391.618,894.957,170.798,17.585,108.597,206.359,172.654,33.403,173.836,379.893,883.232
2020 October,186.346,184.232,406.115,949.99,163.392,17.659,100.881,261.944,177.571,35.537,172.706,385.814,929.689
